,model_name
187,BV9800 6/128Gb Black
188,BV9800 Pro 6/128GB Orange
189,BV9900 8/256GB Black
190,BV9900 Pro 8/128GB Gray
191,BV9900E 6/128GB Black
192,Bison 6/128GB Red
193,Black Shark 2 Pro 8/128GB Black
194,Black Shark 2 Pro 8/128GB Iceberg Grey
195,Black Shark 3 12/256GB Black
196,Black Shark 3 8/128GB Black
197,Black Shark 8/128GB Black
198,Blade 20 Smart 4/128GB Gradient Green
199,Blade A3 2020 1/32GB Blue
200,Blade A3 2020 1/32GB Grey
201,Blade A3 2020 1/32GB Red
202,Blade A5 2/16GB Black
203,Blade A5 2/16GB Blue
204,Blade A5 2/16GB Blue
205,Blade A5 2/32GB Black
206,Blade A5 2/32GB Blue
207,Blade A5 2020 2/32GB Black
208,Blade A7 2019 2/32GB Black
209,Blade A7 2020 2/32GB Gradient
210,Blade A7 2020 3/64GB Gradient
211,Blade A7S 2/64GB Blue
212,Blade L210 1/32GB Black
213,Blade L210 1/32GB Blue
214,Blade L210 1/32GB Blue
215,Blade L8 1/16GB Black
216,Blade L8 1/16GB Blue
217,Blade V2020 Smart 4/128GB Grey
218,Blade V2020 Smart 4/64GB Grey
219,C11 2/32GB Green
220,C11 2/32GB Grey
221,C18 Pro 4/64GB Purple
222,C19 2/16GB Black
223,C19 2/16GB Gradient Blue
224,C2 2/32GB Diamond Black
225,C21 4/64GB Black
226,C3 2/32GB Blue
227,C3 2/32GB Red
228,C3 3/32GB Red
229,C3 3/64GB Blue
230,C30 8/128GB Black
231,C552 Black
232,C552 Red
233,C9 2/16GB Black
234,C9 Pro 3/32GB Black
235,C9 Pro 3/32GB Black
236,CORE-X3 2/16GB Dark Blue
237,Camon 12 Air CC6 Alpenglow Gold
238,Camon 12 CC7 Dark Jade
239,Camon 15 4/64GB Dark Jade (4895180755057)
240,Camon 15 CD7 4/128GB Fascinating Purple (4895180759550)
241,Cool Play 6 6/64GB Black
242,Cool Play 6 6/64GB Black
243,Core 50 16GB Red
244,D6 Pro 2/16GB Black
245,D6 Pro 2/16GB Black
246,D855 G3 32GB (Silk White)
247,D858 G3 Dual (Metallic Black)
248,Droid Turbo 2 32GB (Ballistic Nylon Black)
249,Droid Turbo 2 32GB (Ballistic Nylon Black)
250,E450A 2018 DualSim Black
251,E450R DualSim Gray
252,E500A 2019 DualSim Black
253,E6 Plus 4/64GB Polish Grey
254,E6 Plus XT2025-2 4/64GB Blue
255,E6S 4/64 GB Meteor Grey (PAJE0031RS)
256,E7 Plus 4/64GB Misty Blue (PAKX0008RS)
257,Edge 5G 6/128GB Dual Black (XT2063-3)
258,F534L 2018 DualSim Black
259,F534L 2018 DualSim Gold
260,F572L 2018 DualSim Red
261,F572L 2018 DualSim Silver
262,Find X2 12/256GB Ocean Black
